rr_threshold,net_score,lowest_drawdown,total_trades,quality_metric,file_path
122,30077.2,-2686,10228,111.9776619508563,../version_2_Level_1_filtered_results\rr_threshold_122\final_result_rr_122.csv
123,30229.2,-2145,10508,140.92867132867133,../version_2_Level_1_filtered_results\rr_threshold_123\final_result_rr_123.csv
124,30316.2,-2139,10508,141.7307152875175,../version_2_Level_1_filtered_results\rr_threshold_124\final_result_rr_124.csv
125,30338.0,-2681,10220,113.15926892950391,../version_2_Level_1_filtered_results\rr_threshold_125\final_result_rr_125.csv
126,30050.6,-2679,10204,112.17095931317655,../version_2_Level_1_filtered_results\rr_threshold_126\final_result_rr_126.csv
127,30119.6,-2686,10204,112.1355174981385,../version_2_Level_1_filtered_results\rr_threshold_127\final_result_rr_127.csv
128,30061.1,-2685,10199,111.95940409683426,../version_2_Level_1_filtered_results\rr_threshold_128\final_result_rr_128.csv
129,30251.1,-2684,10199,112.70901639344262,../version_2_Level_1_filtered_results\rr_threshold_129\final_result_rr_129.csv
130,30335.6,-2675,10174,113.40411214953271,../version_2_Level_1_filtered_results\rr_threshold_130\final_result_rr_130.csv
131,30439.2,-2661,10128,114.39007891770011,../version_2_Level_1_filtered_results\rr_threshold_131\final_result_rr_131.csv
134,31114.2,-2658,10128,117.058690744921,../version_2_Level_1_filtered_results\rr_threshold_134\final_result_rr_134.csv
135,31427.2,-2657,10128,118.28076778321415,../version_2_Level_1_filtered_results\rr_threshold_135\final_result_rr_135.csv
136,31466.2,-2656,10128,118.47213855421687,../version_2_Level_1_filtered_results\rr_threshold_136\final_result_rr_136.csv
137,31539.7,-2646,10093,119.19765684051399,../version_2_Level_1_filtered_results\rr_threshold_137\final_result_rr_137.csv
138,32087.9,-2032,10381,157.9128937007874,../version_2_Level_1_filtered_results\rr_threshold_138\final_result_rr_138.csv
139,32259.3,-1821,10637,177.15156507413508,../version_2_Level_1_filtered_results\rr_threshold_139\final_result_rr_139.csv
142,32661.2,-2686,10218,121.59791511541326,../version_2_Level_1_filtered_results\rr_threshold_142\final_result_rr_142.csv
144,32985.2,-2684,10218,122.8956780923994,../version_2_Level_1_filtered_results\rr_threshold_144\final_result_rr_144.csv
145,33144.2,-2683,10218,123.53410361535593,../version_2_Level_1_filtered_results\rr_threshold_145\final_result_rr_145.csv
147,33752.2,-2681,10218,125.89406937709809,../version_2_Level_1_filtered_results\rr_threshold_147\final_result_rr_147.csv
148,33779.1,-2823,10199,119.6567481402763,../version_2_Level_1_filtered_results\rr_threshold_148\final_result_rr_148.csv
149,33931.1,-2823,10199,120.19518243003897,../version_2_Level_1_filtered_results\rr_threshold_149\final_result_rr_149.csv
150,33570.6,-2853,10114,117.66771819137749,../version_2_Level_1_filtered_results\rr_threshold_150\final_result_rr_150.csv
151,33569.2,-2851,10108,117.74535250789195,../version_2_Level_1_filtered_results\rr_threshold_151\final_result_rr_151.csv
152,33710.2,-2850,10108,118.28140350877192,../version_2_Level_1_filtered_results\rr_threshold_152\final_result_rr_152.csv
153,33849.2,-2849,10108,118.8108108108108,../version_2_Level_1_filtered_results\rr_threshold_153\final_result_rr_153.csv
154,33876.3,-2836,10067,119.4509873060649,../version_2_Level_1_filtered_results\rr_threshold_154\final_result_rr_154.csv
155,34159.7,-2836,10073,120.4502820874471,../version_2_Level_1_filtered_results\rr_threshold_155\final_result_rr_155.csv
156,34292.7,-2835,10073,120.96190476190475,../version_2_Level_1_filtered_results\rr_threshold_156\final_result_rr_156.csv
157,34298.7,-2827,10043,121.32543332154226,../version_2_Level_1_filtered_results\rr_threshold_157\final_result_rr_157.csv
158,34677.2,-2017,10538,171.92464055528012,../version_2_Level_1_filtered_results\rr_threshold_158\final_result_rr_158.csv
159,34648.2,-2010,10538,172.37910447761192,../version_2_Level_1_filtered_results\rr_threshold_159\final_result_rr_159.csv
160,34776.2,-2003,10538,173.6205691462806,../version_2_Level_1_filtered_results\rr_threshold_160\final_result_rr_160.csv
162,35064.7,-1981,10503,177.00504795557796,../version_2_Level_1_filtered_results\rr_threshold_162\final_result_rr_162.csv
163,34873.0,-1973,10490,176.75114039533705,../version_2_Level_1_filtered_results\rr_threshold_163\final_result_rr_163.csv
165,34941.0,-1959,10490,178.36140888208269,../version_2_Level_1_filtered_results\rr_threshold_165\final_result_rr_165.csv
166,34944.2,-1934,10438,180.68355739400207,../version_2_Level_1_filtered_results\rr_threshold_166\final_result_rr_166.csv
167,35075.1,-1926,10419,182.11370716510905,../version_2_Level_1_filtered_results\rr_threshold_167\final_result_rr_167.csv
168,35183.1,-1919,10419,183.34080250130276,../version_2_Level_1_filtered_results\rr_threshold_168\final_result_rr_168.csv
169,35185.1,-1889,10359,186.26310217046057,../version_2_Level_1_filtered_results\rr_threshold_169\final_result_rr_169.csv
170,35117.1,-1882,10359,186.59458023379383,../version_2_Level_1_filtered_results\rr_threshold_170\final_result_rr_170.csv
171,35139.7,-1846,10273,190.35590465872153,../version_2_Level_1_filtered_results\rr_threshold_171\final_result_rr_171.csv
174,35949.7,-1825,10273,196.98465753424657,../version_2_Level_1_filtered_results\rr_threshold_174\final_result_rr_174.csv
175,35867.7,-1818,10273,197.29207920792078,../version_2_Level_1_filtered_results\rr_threshold_175\final_result_rr_175.csv
177,36217.8,-1869,10442,193.7817014446228,../version_2_Level_1_filtered_results\rr_threshold_177\final_result_rr_177.csv
178,36127.8,-1860,10442,194.23548387096778,../version_2_Level_1_filtered_results\rr_threshold_178\final_result_rr_178.csv
180,36323.1,-1841,10419,197.30092341118956,../version_2_Level_1_filtered_results\rr_threshold_180\final_result_rr_180.csv
181,36041.1,-1834,10419,196.5163576881134,../version_2_Level_1_filtered_results\rr_threshold_181\final_result_rr_181.csv
183,36563.1,-1820,10419,200.89615384615385,../version_2_Level_1_filtered_results\rr_threshold_183\final_result_rr_183.csv
184,36639.1,-1987,10419,184.3940613990941,../version_2_Level_1_filtered_results\rr_threshold_184\final_result_rr_184.csv
186,36997.4,-1963,10396,188.47376464595007,../version_2_Level_1_filtered_results\rr_threshold_186\final_result_rr_186.csv
187,36728.7,-1947,10363,188.64252696456083,../version_2_Level_1_filtered_results\rr_threshold_187\final_result_rr_187.csv
188,36795.7,-1939,10363,189.766374419804,../version_2_Level_1_filtered_results\rr_threshold_188\final_result_rr_188.csv
189,36573.1,-1913,10279,191.18191322530058,../version_2_Level_1_filtered_results\rr_threshold_189\final_result_rr_189.csv
191,36885.1,-1897,10279,194.4391143911439,../version_2_Level_1_filtered_results\rr_threshold_191\final_result_rr_191.csv
192,36972.8,-1888,10252,195.83050847457628,../version_2_Level_1_filtered_results\rr_threshold_192\final_result_rr_192.csv
195,37364.9,-1857,10221,201.21109316101237,../version_2_Level_1_filtered_results\rr_threshold_195\final_result_rr_195.csv
196,37244.2,-1842,10198,202.19435396308359,../version_2_Level_1_filtered_results\rr_threshold_196\final_result_rr_196.csv
197,37094.2,-1834,10198,202.25845147219192,../version_2_Level_1_filtered_results\rr_threshold_197\final_result_rr_197.csv
198,37172.2,-1814,10168,204.9184123484013,../version_2_Level_1_filtered_results\rr_threshold_198\final_result_rr_198.csv
201,37699.2,-1790,10168,210.61005586592177,../version_2_Level_1_filtered_results\rr_threshold_201\final_result_rr_201.csv
202,37782.2,-1775,10128,212.8574647887324,../version_2_Level_1_filtered_results\rr_threshold_202\final_result_rr_202.csv
205,38322.3,-1747,10107,219.3606182026331,../version_2_Level_1_filtered_results\rr_threshold_205\final_result_rr_205.csv
206,38148.3,-1747,10107,218.36462507155125,../version_2_Level_1_filtered_results\rr_threshold_206\final_result_rr_206.csv
208,37933.5,-1733,9975,218.88920946335836,../version_2_Level_1_filtered_results\rr_threshold_208\final_result_rr_208.csv
209,37747.5,-1733,9975,217.81592613964224,../version_2_Level_1_filtered_results\rr_threshold_209\final_result_rr_209.csv
210,37816.9,-1731,9931,218.46851530906991,../version_2_Level_1_filtered_results\rr_threshold_210\final_result_rr_210.csv
211,37835.9,-1731,9931,218.578278451762,../version_2_Level_1_filtered_results\rr_threshold_211\final_result_rr_211.csv
213,37900.9,-1725,9901,219.7153623188406,../version_2_Level_1_filtered_results\rr_threshold_213\final_result_rr_213.csv
214,38128.9,-1725,9901,221.03710144927538,../version_2_Level_1_filtered_results\rr_threshold_214\final_result_rr_214.csv
215,37760.6,-1725,9854,218.90202898550723,../version_2_Level_1_filtered_results\rr_threshold_215\final_result_rr_215.csv
216,37768.6,-1725,9854,218.94840579710143,../version_2_Level_1_filtered_results\rr_threshold_216\final_result_rr_216.csv
218,37997.6,-1725,9854,220.2759420289855,../version_2_Level_1_filtered_results\rr_threshold_218\final_result_rr_218.csv
221,38253.4,-1719,9826,222.5328679464805,../version_2_Level_1_filtered_results\rr_threshold_221\final_result_rr_221.csv
222,38251.4,-1719,9826,222.52123327515997,../version_2_Level_1_filtered_results\rr_threshold_222\final_result_rr_222.csv
225,38685.4,-1719,9826,225.0459569517161,../version_2_Level_1_filtered_results\rr_threshold_225\final_result_rr_225.csv
226,38775.3,-1703,9737,227.68819729888432,../version_2_Level_1_filtered_results\rr_threshold_226\final_result_rr_226.csv
228,39024.1,-1702,9699,229.28378378378378,../version_2_Level_1_filtered_results\rr_threshold_228\final_result_rr_228.csv
230,39227.1,-1702,9699,230.4764982373678,../version_2_Level_1_filtered_results\rr_threshold_230\final_result_rr_230.csv
231,38979.1,-1702,9699,229.01938895417155,../version_2_Level_1_filtered_results\rr_threshold_231\final_result_rr_231.csv
232,38960.1,-1702,9699,228.90775558166862,../version_2_Level_1_filtered_results\rr_threshold_232\final_result_rr_232.csv
234,39214.9,-1695,9641,231.35634218289087,../version_2_Level_1_filtered_results\rr_threshold_234\final_result_rr_234.csv
236,39439.3,-1695,9607,232.6802359882006,../version_2_Level_1_filtered_results\rr_threshold_236\final_result_rr_236.csv
239,39592.3,-1695,9607,233.58289085545724,../version_2_Level_1_filtered_results\rr_threshold_239\final_result_rr_239.csv
240,39560.3,-1695,9607,233.39410029498526,../version_2_Level_1_filtered_results\rr_threshold_240\final_result_rr_240.csv
241,39526.3,-1695,9607,233.19351032448378,../version_2_Level_1_filtered_results\rr_threshold_241\final_result_rr_241.csv
242,39490.3,-1695,9607,232.98112094395282,../version_2_Level_1_filtered_results\rr_threshold_242\final_result_rr_242.csv
243,39452.3,-1695,9607,232.75693215339234,../version_2_Level_1_filtered_results\rr_threshold_243\final_result_rr_243.csv
244,39657.3,-1695,9607,233.96637168141595,../version_2_Level_1_filtered_results\rr_threshold_244\final_result_rr_244.csv
246,39873.1,-1693,9559,235.51742468989957,../version_2_Level_1_filtered_results\rr_threshold_246\final_result_rr_246.csv
247,39611.9,-1689,9531,234.52871521610422,../version_2_Level_1_filtered_results\rr_threshold_247\final_result_rr_247.csv
249,39765.9,-1689,9531,235.4404973357016,../version_2_Level_1_filtered_results\rr_threshold_249\final_result_rr_249.csv
254,40260.9,-1689,9531,238.37122557726465,../version_2_Level_1_filtered_results\rr_threshold_254\final_result_rr_254.csv
256,40175.7,-1687,9503,238.14878482513333,../version_2_Level_1_filtered_results\rr_threshold_256\final_result_rr_256.csv
258,40391.0,-1683,9430,239.99405822935233,../version_2_Level_1_filtered_results\rr_threshold_258\final_result_rr_258.csv
260,40570.4,-1680,9386,241.4904761904762,../version_2_Level_1_filtered_results\rr_threshold_260\final_result_rr_260.csv
261,40503.4,-1749,9386,231.58033161806748,../version_2_Level_1_filtered_results\rr_threshold_261\final_result_rr_261.csv
264,40676.4,-1687,9276,241.11677534084174,../version_2_Level_1_filtered_results\rr_threshold_264\final_result_rr_264.csv
266,40793.4,-1673,9276,243.833831440526,../version_2_Level_1_filtered_results\rr_threshold_266\final_result_rr_266.csv
268,40493.8,-1647,9162,245.86399514268368,../version_2_Level_1_filtered_results\rr_threshold_268\final_result_rr_268.csv
269,40411.8,-1647,9162,245.36612021857925,../version_2_Level_1_filtered_results\rr_threshold_269\final_result_rr_269.csv
279,42001.8,-1647,9162,255.0200364298725,../version_2_Level_1_filtered_results\rr_threshold_279\final_result_rr_279.csv
281,41854.9,-1646,9121,254.28250303766708,../version_2_Level_1_filtered_results\rr_threshold_281\final_result_rr_281.csv
283,41938.9,-1646,9121,254.79283110571083,../version_2_Level_1_filtered_results\rr_threshold_283\final_result_rr_283.csv
285,42018.9,-1770,9121,237.3949152542373,../version_2_Level_1_filtered_results\rr_threshold_285\final_result_rr_285.csv
286,41994.2,-1740,9048,241.34597701149423,../version_2_Level_1_filtered_results\rr_threshold_286\final_result_rr_286.csv
287,42175.2,-1734,9048,243.22491349480967,../version_2_Level_1_filtered_results\rr_threshold_287\final_result_rr_287.csv
296,43804.2,-1696,9048,258.2794811320755,../version_2_Level_1_filtered_results\rr_threshold_296\final_result_rr_296.csv
297,43766.4,-1687,8976,259.4333135743924,../version_2_Level_1_filtered_results\rr_threshold_297\final_result_rr_297.csv
298,43722.2,-1918,8908,227.9572471324296,../version_2_Level_1_filtered_results\rr_threshold_298\final_result_rr_298.csv
301,43993.5,-1892,8875,232.5237843551797,../version_2_Level_1_filtered_results\rr_threshold_301\final_result_rr_301.csv
302,43565.5,-1892,8875,230.26162790697674,../version_2_Level_1_filtered_results\rr_threshold_302\final_result_rr_302.csv
307,44177.1,-1855,8839,238.15148247978436,../version_2_Level_1_filtered_results\rr_threshold_307\final_result_rr_307.csv
