Type,Date,Price,BalanceBefore,Profit,BalanceAfter
BUY,2012-08-06 10:30:00,1608.55,10352.42107,,
SELL,2012-08-14 06:30:00,1611.85,,3.2999999999999545,10355.72107
BUY,2012-08-16 22:30:00,1614.8,10355.72107,,
SELL,2012-08-28 06:30:00,1661.0,,46.200000000000045,10401.92107
BUY,2012-08-31 22:30:00,1691.7,10401.92107,,
SELL,2012-09-06 02:30:00,1697.5,,5.7999999999999545,10407.72107
BUY,2012-09-06 06:30:00,1698.3,10407.72107,,
SELL,2012-09-13 10:30:00,1730.15,,31.850000000000136,10439.57107
BUY,2012-09-13 22:30:00,1766.48,10439.57107,,
SELL,2012-09-18 10:30:00,1756.7,,-9.779999999999973,10429.79107
BUY,2012-09-19 10:30:00,1773.209,10429.79107,,
SELL,2012-09-20 18:30:00,1767.3,,-5.9090000000001055,10423.88207
BUY,2012-09-21 09:30:00,1773.5,10423.88207,,
SELL,2012-09-24 13:30:00,1762.85,,-10.650000000000091,10413.23207
BUY,2012-09-27 21:30:00,1777.0,10413.23207,,
SELL,2012-10-03 05:30:00,1774.595,,-2.4049999999999727,10410.82707
BUY,2012-10-03 17:30:00,1776.65,10410.82707,,
SELL,2012-10-08 05:30:00,1768.95,,-7.7000000000000455,10403.127069999999
BUY,2012-10-12 05:30:00,1769.41,10403.127069999999,,
SELL,2012-10-15 01:30:00,1744.42,,-24.99000000000001,10378.137069999999
BUY,2012-10-17 13:30:00,1747.69,10378.137069999999,,
SELL,2012-10-19 01:30:00,1740.1,,-7.5900000000001455,10370.547069999999
BUY,2012-10-26 01:30:00,1714.14,10370.547069999999,,
SELL,2012-10-26 13:30:00,1714.67,,0.5299999999999727,10371.07707
BUY,2012-10-26 17:30:00,1712.08,10371.07707,,
SELL,2012-10-29 01:30:00,1715.02,,2.9400000000000546,10374.01707
BUY,2012-10-29 05:30:00,1715.2,10374.01707,,
SELL,2012-10-30 05:30:00,1709.32,,-5.880000000000109,10368.13707
BUY,2012-10-31 05:30:00,1711.57,10368.13707,,
SELL,2012-10-31 09:30:00,1717.92,,6.350000000000136,10374.487070000001
BUY,2012-10-31 13:30:00,1719.15,10374.487070000001,,
SELL,2012-11-02 09:30:00,1707.2,,-11.950000000000045,10362.53707
BUY,2012-11-07 02:30:00,1718.78,10362.53707,,
SELL,2012-11-13 10:30:00,1726.41,,7.630000000000109,10370.16707
BUY,2012-11-19 18:30:00,1734.24,10370.16707,,
SELL,2012-11-21 22:30:00,1728.29,,-5.9500000000000455,10364.217069999999
BUY,2012-11-22 06:30:00,1729.33,10364.217069999999,,
SELL,2012-11-22 10:30:00,1729.69,,0.36000000000012733,10364.57707
BUY,2012-11-22 14:30:00,1730.74,10364.57707,,
SELL,2012-11-28 10:30:00,1740.0,,9.259999999999991,10373.83707
BUY,2012-12-07 10:30:00,1696.3,10373.83707,,
SELL,2012-12-13 10:30:00,1695.6,,-0.7000000000000455,10373.137069999999
BUY,2012-12-18 10:30:00,1699.5,10373.137069999999,,
SELL,2012-12-18 22:30:00,1670.95,,-28.549999999999955,10344.58707
BUY,2012-12-24 18:30:00,1659.48,10344.58707,,
SELL,2012-12-31 02:30:00,1660.18,,0.7000000000000455,10345.28707
BUY,2012-12-31 14:30:00,1662.64,10345.28707,,
SELL,2013-01-04 06:30:00,1652.74,,-9.900000000000091,10335.38707
BUY,2013-01-09 02:30:00,1658.49,10335.38707,,
SELL,2013-01-14 06:30:00,1667.447,,8.95699999999988,10344.344070000001
BUY,2013-01-14 18:30:00,1668.15,10344.344070000001,,
SELL,2013-01-24 02:30:00,1683.62,,15.4699999999998,10359.81407
BUY,2013-01-30 02:30:00,1664.35,10359.81407,,
SELL,2013-02-01 06:30:00,1663.6,,-0.75,10359.06407
