rr_threshold,net_score,max_losing_streak,total_trades,quality_metric,file_path
195,37364.9,1756,10221,212.7841685649203,../version_2_Level_1_filtered_results\rr_threshold_195\final_result_rr_195.csv
196,37244.2,1753,10198,212.4597832287507,../version_2_Level_1_filtered_results\rr_threshold_196\final_result_rr_196.csv
197,37094.2,1753,10198,211.6041072447233,../version_2_Level_1_filtered_results\rr_threshold_197\final_result_rr_197.csv
198,37172.2,1751,10168,212.2912621359223,../version_2_Level_1_filtered_results\rr_threshold_198\final_result_rr_198.csv
201,37699.2,1751,10168,215.30097087378638,../version_2_Level_1_filtered_results\rr_threshold_201\final_result_rr_201.csv
202,37782.2,1749,10128,216.02172670097195,../version_2_Level_1_filtered_results\rr_threshold_202\final_result_rr_202.csv
205,38322.3,1747,10107,219.3606182026331,../version_2_Level_1_filtered_results\rr_threshold_205\final_result_rr_205.csv
206,38148.3,1747,10107,218.36462507155125,../version_2_Level_1_filtered_results\rr_threshold_206\final_result_rr_206.csv
208,37933.5,1733,9975,218.88920946335836,../version_2_Level_1_filtered_results\rr_threshold_208\final_result_rr_208.csv
209,37747.5,1733,9975,217.81592613964224,../version_2_Level_1_filtered_results\rr_threshold_209\final_result_rr_209.csv
210,37816.9,1731,9931,218.46851530906991,../version_2_Level_1_filtered_results\rr_threshold_210\final_result_rr_210.csv
211,37835.9,1731,9931,218.578278451762,../version_2_Level_1_filtered_results\rr_threshold_211\final_result_rr_211.csv
213,37900.9,1725,9901,219.7153623188406,../version_2_Level_1_filtered_results\rr_threshold_213\final_result_rr_213.csv
214,38128.9,1725,9901,221.03710144927538,../version_2_Level_1_filtered_results\rr_threshold_214\final_result_rr_214.csv
215,37760.6,1725,9854,218.90202898550723,../version_2_Level_1_filtered_results\rr_threshold_215\final_result_rr_215.csv
216,37768.6,1725,9854,218.94840579710143,../version_2_Level_1_filtered_results\rr_threshold_216\final_result_rr_216.csv
218,37997.6,1725,9854,220.2759420289855,../version_2_Level_1_filtered_results\rr_threshold_218\final_result_rr_218.csv
221,38253.4,1719,9826,222.5328679464805,../version_2_Level_1_filtered_results\rr_threshold_221\final_result_rr_221.csv
222,38251.4,1719,9826,222.52123327515997,../version_2_Level_1_filtered_results\rr_threshold_222\final_result_rr_222.csv
225,38685.4,1719,9826,225.0459569517161,../version_2_Level_1_filtered_results\rr_threshold_225\final_result_rr_225.csv
226,38775.3,1703,9737,227.68819729888432,../version_2_Level_1_filtered_results\rr_threshold_226\final_result_rr_226.csv
228,39024.1,1702,9699,229.28378378378378,../version_2_Level_1_filtered_results\rr_threshold_228\final_result_rr_228.csv
230,39227.1,1702,9699,230.4764982373678,../version_2_Level_1_filtered_results\rr_threshold_230\final_result_rr_230.csv
231,38979.1,1702,9699,229.01938895417155,../version_2_Level_1_filtered_results\rr_threshold_231\final_result_rr_231.csv
232,38960.1,1702,9699,228.90775558166862,../version_2_Level_1_filtered_results\rr_threshold_232\final_result_rr_232.csv
234,39214.9,1695,9641,231.35634218289087,../version_2_Level_1_filtered_results\rr_threshold_234\final_result_rr_234.csv
236,39439.3,1695,9607,232.6802359882006,../version_2_Level_1_filtered_results\rr_threshold_236\final_result_rr_236.csv
239,39592.3,1695,9607,233.58289085545724,../version_2_Level_1_filtered_results\rr_threshold_239\final_result_rr_239.csv
240,39560.3,1695,9607,233.39410029498526,../version_2_Level_1_filtered_results\rr_threshold_240\final_result_rr_240.csv
241,39526.3,1695,9607,233.19351032448378,../version_2_Level_1_filtered_results\rr_threshold_241\final_result_rr_241.csv
242,39490.3,1695,9607,232.98112094395282,../version_2_Level_1_filtered_results\rr_threshold_242\final_result_rr_242.csv
243,39452.3,1695,9607,232.75693215339234,../version_2_Level_1_filtered_results\rr_threshold_243\final_result_rr_243.csv
244,39657.3,1695,9607,233.96637168141595,../version_2_Level_1_filtered_results\rr_threshold_244\final_result_rr_244.csv
246,39873.1,1693,9559,235.51742468989957,../version_2_Level_1_filtered_results\rr_threshold_246\final_result_rr_246.csv
247,39611.9,1689,9531,234.52871521610422,../version_2_Level_1_filtered_results\rr_threshold_247\final_result_rr_247.csv
249,39765.9,1689,9531,235.4404973357016,../version_2_Level_1_filtered_results\rr_threshold_249\final_result_rr_249.csv
254,40260.9,1689,9531,238.37122557726465,../version_2_Level_1_filtered_results\rr_threshold_254\final_result_rr_254.csv
256,40175.7,1687,9503,238.14878482513333,../version_2_Level_1_filtered_results\rr_threshold_256\final_result_rr_256.csv
258,40391.0,1683,9430,239.99405822935233,../version_2_Level_1_filtered_results\rr_threshold_258\final_result_rr_258.csv
260,40570.4,1680,9386,241.4904761904762,../version_2_Level_1_filtered_results\rr_threshold_260\final_result_rr_260.csv
261,40503.4,1680,9386,241.09166666666667,../version_2_Level_1_filtered_results\rr_threshold_261\final_result_rr_261.csv
264,40676.4,1664,9276,244.44951923076925,../version_2_Level_1_filtered_results\rr_threshold_264\final_result_rr_264.csv
266,40793.4,1664,9276,245.15264423076925,../version_2_Level_1_filtered_results\rr_threshold_266\final_result_rr_266.csv
268,40493.8,1647,9162,245.86399514268368,../version_2_Level_1_filtered_results\rr_threshold_268\final_result_rr_268.csv
269,40411.8,1647,9162,245.36612021857925,../version_2_Level_1_filtered_results\rr_threshold_269\final_result_rr_269.csv
279,42001.8,1647,9162,255.0200364298725,../version_2_Level_1_filtered_results\rr_threshold_279\final_result_rr_279.csv
281,41854.9,1646,9121,254.28250303766708,../version_2_Level_1_filtered_results\rr_threshold_281\final_result_rr_281.csv
283,41938.9,1646,9121,254.79283110571083,../version_2_Level_1_filtered_results\rr_threshold_283\final_result_rr_283.csv
285,42018.9,1705,9121,246.4451612903226,../version_2_Level_1_filtered_results\rr_threshold_285\final_result_rr_285.csv
286,41994.2,1697,9048,247.4614024749558,../version_2_Level_1_filtered_results\rr_threshold_286\final_result_rr_286.csv
287,42175.2,1697,9048,248.52799057159692,../version_2_Level_1_filtered_results\rr_threshold_287\final_result_rr_287.csv
296,43804.2,1697,9048,258.1272834413671,../version_2_Level_1_filtered_results\rr_threshold_296\final_result_rr_296.csv
297,43766.4,1688,8976,259.2796208530806,../version_2_Level_1_filtered_results\rr_threshold_297\final_result_rr_297.csv
298,43722.2,1677,8908,260.7167561121049,../version_2_Level_1_filtered_results\rr_threshold_298\final_result_rr_298.csv
301,43993.5,1673,8875,262.9617453676031,../version_2_Level_1_filtered_results\rr_threshold_301\final_result_rr_301.csv
302,43565.5,1673,8875,260.403466826061,../version_2_Level_1_filtered_results\rr_threshold_302\final_result_rr_302.csv
307,44177.1,1670,8839,264.53353293413176,../version_2_Level_1_filtered_results\rr_threshold_307\final_result_rr_307.csv
308,44043.1,1670,8839,263.73113772455093,../version_2_Level_1_filtered_results\rr_threshold_308\final_result_rr_308.csv
309,43907.1,1670,8839,262.9167664670659,../version_2_Level_1_filtered_results\rr_threshold_309\final_result_rr_309.csv
312,43614.7,1655,8723,263.53293051359515,../version_2_Level_1_filtered_results\rr_threshold_312\final_result_rr_312.csv
315,43795.8,1727,9022,253.5946728430805,../version_2_Level_1_filtered_results\rr_threshold_315\final_result_rr_315.csv
318,43986.8,1727,9022,254.70063694267517,../version_2_Level_1_filtered_results\rr_threshold_318\final_result_rr_318.csv
320,44003.8,1727,9022,254.79907353792706,../version_2_Level_1_filtered_results\rr_threshold_320\final_result_rr_320.csv
322,44066.3,1726,8977,255.30880648899193,../version_2_Level_1_filtered_results\rr_threshold_322\final_result_rr_322.csv
323,44233.3,1726,8977,256.2763615295481,../version_2_Level_1_filtered_results\rr_threshold_323\final_result_rr_323.csv
326,44080.3,1726,8977,255.38991888760143,../version_2_Level_1_filtered_results\rr_threshold_326\final_result_rr_326.csv
