date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,hour
2023-04-10,13:30:00,Monday,Sell,1987.81,2003.12,15.31,6.24,SL,5,Stop Loss,13
2023-04-11,13:30:00,Tuesday,Sell,2001.18,2005.15,3.97,1.58,SL,1,Stop Loss,13
2023-04-12,13:30:00,Wednesday,Sell,2007.48,2028.45,20.97,4.48,SL,5,Stop Loss,13
2023-04-17,13:30:00,Monday,Sell,1995.6,2011.21,15.61,14.55,SL,7,Stop Loss,13
2023-04-18,13:30:00,Tuesday,Sell,1998.82,2005.99,7.17,0.0,SL,1,Stop Loss,13
2023-04-21,13:30:00,Friday,Sell,1973.41,1998.11,24.7,1.92,SL,9,Stop Loss,13
2023-04-24,13:30:00,Monday,Sell,1977.64,1985.51,7.87,1.23,SL,1,Stop Loss,13
2023-04-25,13:30:00,Tuesday,Sell,1984.92,1994.67,9.75,1.64,SL,1,Stop Loss,13
2023-04-27,13:30:00,Thursday,Sell,1981.57,2003.54,21.97,5.55,SL,12,Stop Loss,13
2023-05-03,13:30:00,Wednesday,Sell,2013.6,2020.23,6.63,1.89,SL,1,Stop Loss,13
2023-05-05,13:30:00,Friday,Sell,2003.66,2039.44,35.78,4.3,SL,18,Stop Loss,13
2023-05-18,13:30:00,Thursday,Sell,1959.69,1979.07,19.38,7.85,SL,7,Stop Loss,13
2023-05-19,13:30:00,Friday,Sell,1960.68,1968.01,7.33,3.61,SL,1,Stop Loss,13
2023-05-25,13:30:00,Thursday,Sell,1946.3,1963.22,16.92,14.35,SL,19,Stop Loss,13
2023-05-30,13:30:00,Tuesday,Sell,1952.47,1962.38,9.91,2.5,SL,1,Stop Loss,13
2023-06-06,13:30:00,Tuesday,Sell,1956.91,1966.47,9.56,0.39,SL,3,Stop Loss,13
2023-06-12,13:30:00,Monday,Sell,1951.85,1967.1,15.25,2.93,SL,6,Stop Loss,13
2023-06-21,13:30:00,Wednesday,Sell,1928.3,1935.74,7.44,4.19,SL,1,Stop Loss,13
2023-06-29,13:30:00,Thursday,Sell,1899.33,1912.25,12.92,0.14,SL,1,Stop Loss,13
2023-07-06,13:30:00,Thursday,Sell,1910.36,1927.69,17.33,7.69,SL,6,Stop Loss,13
2023-07-10,13:30:00,Monday,Sell,1922.69,1925.88,3.19,2.14,SL,1,Stop Loss,13
2023-07-11,13:30:00,Tuesday,Sell,1933.21,1938.53,5.32,3.97,SL,3,Stop Loss,13
2023-07-17,13:30:00,Monday,Sell,1950.2,1959.92,9.72,1.02,SL,4,Stop Loss,13
2023-07-24,13:30:00,Monday,Sell,1959.16,1967.95,8.79,7.87,SL,11,Stop Loss,13
2023-07-25,13:30:00,Tuesday,Sell,1956.44,1963.53,7.09,5.15,SL,1,Stop Loss,13
